time,temperature_2m,cloud_cover,shortwave_radiation
2023-01-01T00:00,5.2,97,0.0
2023-01-01T01:00,6.8,93,0.0
2023-01-01T02:00,7.8,91,0.0
2023-01-01T03:00,8.6,93,0.0
2023-01-01T04:00,7.5,42,0.0
2023-01-01T05:00,8.4,46,0.0
2023-01-01T06:00,8.1,44,0.0
2023-01-01T07:00,7.0,22,0.0
2023-01-01T08:00,6.3,26,0.0
2023-01-01T09:00,5.2,81,0.0
2023-01-01T10:00,6.1,91,18.0
2023-01-01T11:00,9.6,100,103.0
2023-01-01T12:00,11.4,92,209.0
2023-01-01T13:00,12.6,96,273.0
2023-01-01T14:00,12.6,77,303.0
2023-01-01T15:00,13.9,99,279.0
2023-01-01T16:00,14.2,56,211.0
2023-01-01T17:00,14.4,86,111.0
2023-01-01T18:00,12.9,89,17.0
2023-01-01T19:00,8.0,61,0.0
2023-01-01T20:00,6.6,87,0.0
2023-01-01T21:00,5.9,86,0.0
2023-01-01T22:00,7.7,83,0.0
2023-01-01T23:00,9.4,15,0.0
2023-01-02T00:00,8.4,29,0.0
2023-01-02T01:00,7.1,93,0.0
2023-01-02T02:00,7.8,88,0.0
2023-01-02T03:00,6.2,53,0.0
2023-01-02T04:00,8.3,54,0.0
2023-01-02T05:00,4.9,90,0.0
2023-01-02T06:00,5.9,72,0.0
2023-01-02T07:00,10.4,64,0.0
2023-01-02T08:00,9.9,64,0.0
2023-01-02T09:00,4.3,76,0.0
2023-01-02T10:00,4.8,87,18.0
2023-01-02T11:00,7.2,77,113.0
2023-01-02T12:00,9.3,81,204.0
2023-01-02T13:00,10.9,67,279.0
2023-01-02T14:00,12.8,51,296.0
2023-01-02T15:00,13.1,100,281.0
2023-01-02T16:00,12.6,100,198.0
2023-01-02T17:00,10.7,100,90.0
2023-01-02T18:00,8.3,100,12.0
2023-01-02T19:00,7.7,100,0.0
2023-01-02T20:00,6.9,100,0.0
2023-01-02T21:00,7.2,100,0.0
2023-01-02T22:00,8.1,100,0.0
2023-01-02T23:00,7.3,100,0.0
2023-01-03T00:00,7.2,100,0.0
2023-01-03T01:00,7.8,100,0.0
2023-01-03T02:00,8.0,100,0.0
2023-01-03T03:00,8.5,100,0.0
2023-01-03T04:00,8.3,100,0.0
2023-01-03T05:00,8.1,100,0.0
2023-01-03T06:00,6.7,100,0.0
2023-01-03T07:00,6.6,100,0.0
2023-01-03T08:00,6.2,100,0.0
2023-01-03T09:00,6.8,100,0.0
2023-01-03T10:00,6.4,100,3.0
2023-01-03T11:00,6.5,100,16.0
2023-01-03T12:00,6.9,100,32.0
2023-01-03T13:00,7.2,100,45.0
2023-01-03T14:00,7.2,100,54.0
2023-01-03T15:00,7.6,100,73.0
2023-01-03T16:00,7.8,100,68.0
2023-01-03T17:00,7.3,100,20.0
2023-01-03T18:00,6.9,100,4.0
2023-01-03T19:00,6.2,94,0.0
2023-01-03T20:00,6.7,1,0.0
2023-01-03T21:00,5.9,0,0.0
2023-01-03T22:00,4.2,100,0.0
2023-01-03T23:00,4.7,100,0.0
2023-01-04T00:00,2.2,100,0.0
2023-01-04T01:00,2.1,100,0.0
2023-01-04T02:00,2.8,100,0.0
2023-01-04T03:00,2.5,100,0.0
2023-01-04T04:00,2.5,100,0.0
2023-01-04T05:00,2.5,100,0.0
2023-01-04T06:00,2.4,100,0.0
2023-01-04T07:00,2.2,100,0.0
2023-01-04T08:00,2.0,100,0.0
2023-01-04T09:00,2.2,100,0.0
2023-01-04T10:00,3.3,100,12.0
2023-01-04T11:00,4.5,100,72.0
2023-01-04T12:00,5.9,100,131.0
2023-01-04T13:00,7.3,100,210.0
2023-01-04T14:00,7.3,100,281.0
2023-01-04T15:00,8.0,100,88.0
2023-01-04T16:00,8.1,100,45.0
2023-01-04T17:00,8.2,100,26.0
2023-01-04T18:00,8.3,100,4.0
2023-01-04T19:00,8.6,100,0.0
2023-01-04T20:00,8.9,100,0.0
2023-01-04T21:00,9.2,100,0.0
2023-01-04T22:00,8.9,100,0.0
2023-01-04T23:00,9.3,100,0.0
2023-01-05T00:00,9.7,100,0.0
2023-01-05T01:00,9.9,100,0.0
2023-01-05T02:00,8.4,100,0.0
2023-01-05T03:00,8.8,100,0.0
2023-01-05T04:00,8.9,100,0.0
2023-01-05T05:00,9.1,100,0.0
2023-01-05T06:00,8.9,100,0.0
2023-01-05T07:00,9.2,100,0.0
2023-01-05T08:00,9.0,100,0.0
2023-01-05T09:00,9.1,100,0.0
2023-01-05T10:00,9.4,100,3.0
2023-01-05T11:00,9.6,100,20.0
2023-01-05T12:00,9.9,93,47.0
2023-01-05T13:00,11.1,80,200.0
2023-01-05T14:00,10.1,71,254.0
2023-01-05T15:00,10.8,55,133.0
2023-01-05T16:00,10.9,98,149.0
2023-01-05T17:00,10.4,34,72.0
2023-01-05T18:00,7.3,67,19.0
2023-01-05T19:00,6.4,100,0.0
2023-01-05T20:00,6.8,97,0.0
2023-01-05T21:00,6.0,27,0.0
2023-01-05T22:00,5.9,29,0.0
2023-01-05T23:00,6.5,40,0.0
2023-01-06T00:00,4.3,100,0.0
2023-01-06T01:00,2.2,100,0.0
2023-01-06T02:00,4.4,100,0.0
2023-01-06T03:00,3.4,100,0.0
2023-01-06T04:00,2.8,100,0.0
2023-01-06T05:00,3.2,100,0.0
2023-01-06T06:00,3.2,100,0.0
2023-01-06T07:00,3.3,100,0.0
2023-01-06T08:00,3.5,100,0.0
2023-01-06T09:00,3.9,100,0.0
2023-01-06T10:00,4.3,100,5.0
2023-01-06T11:00,5.3,88,62.0
2023-01-06T12:00,7.1,100,135.0
2023-01-06T13:00,8.6,100,180.0
2023-01-06T14:00,8.5,100,100.0
2023-01-06T15:00,8.4,83,116.0
2023-01-06T16:00,8.8,70,162.0
2023-01-06T17:00,7.6,96,113.0
2023-01-06T18:00,4.9,99,20.0
2023-01-06T19:00,4.8,100,0.0
2023-01-06T20:00,5.9,99,0.0
2023-01-06T21:00,2.5,96,0.0
2023-01-06T22:00,2.6,100,0.0
2023-01-06T23:00,4.0,100,0.0
2023-01-07T00:00,2.2,100,0.0
2023-01-07T01:00,3.3,100,0.0
2023-01-07T02:00,2.1,100,0.0
2023-01-07T03:00,3.2,100,0.0
2023-01-07T04:00,2.5,100,0.0
2023-01-07T05:00,2.3,100,0.0
2023-01-07T06:00,2.2,100,0.0
2023-01-07T07:00,2.0,100,0.0
2023-01-07T08:00,1.9,100,0.0
2023-01-07T09:00,1.8,100,0.0
2023-01-07T10:00,1.9,100,14.0
2023-01-07T11:00,2.4,100,79.0
2023-01-07T12:00,3.2,100,156.0
2023-01-07T13:00,4.2,100,205.0
2023-01-07T14:00,5.6,100,259.0
2023-01-07T15:00,6.9,2,304.0
2023-01-07T16:00,7.2,16,236.0
2023-01-07T17:00,6.1,90,132.0
2023-01-07T18:00,4.1,41,22.0
2023-01-07T19:00,2.3,44,0.0
2023-01-07T20:00,2.5,98,0.0
2023-01-07T21:00,4.4,90,0.0
2023-01-07T22:00,4.1,98,0.0
2023-01-07T23:00,3.8,100,0.0
2023-01-08T00:00,3.9,100,0.0
2023-01-08T01:00,0.8,8,0.0
2023-01-08T02:00,1.7,43,0.0
2023-01-08T03:00,2.3,99,0.0
2023-01-08T04:00,4.3,100,0.0
2023-01-08T05:00,4.8,100,0.0
2023-01-08T06:00,2.3,100,0.0
2023-01-08T07:00,2.0,100,0.0
2023-01-08T08:00,2.0,100,0.0
2023-01-08T09:00,2.5,100,0.0
2023-01-08T10:00,2.8,100,5.0
2023-01-08T11:00,3.8,100,24.0
2023-01-08T12:00,4.7,100,43.0
2023-01-08T13:00,5.4,100,73.0
2023-01-08T14:00,5.1,100,108.0
2023-01-08T15:00,6.6,97,139.0
2023-01-08T16:00,6.3,100,75.0
2023-01-08T17:00,6.1,100,20.0
2023-01-08T18:00,5.3,100,5.0
2023-01-08T19:00,4.4,100,0.0
2023-01-08T20:00,4.7,100,0.0
2023-01-08T21:00,4.0,100,0.0
2023-01-08T22:00,3.8,100,0.0
2023-01-08T23:00,3.0,100,0.0
2023-01-09T00:00,3.1,100,0.0
2023-01-09T01:00,3.1,100,0.0
2023-01-09T02:00,4.2,100,0.0
2023-01-09T03:00,4.6,100,0.0
2023-01-09T04:00,3.9,100,0.0
2023-01-09T05:00,5.6,100,0.0
2023-01-09T06:00,5.8,100,0.0
2023-01-09T07:00,5.6,100,0.0
2023-01-09T08:00,5.1,6,0.0
2023-01-09T09:00,3.8,0,0.0
2023-01-09T10:00,3.8,0,21.0
2023-01-09T11:00,5.2,26,125.0
2023-01-09T12:00,6.4,44,216.0
2023-01-09T13:00,7.3,29,253.0
2023-01-09T14:00,5.8,96,258.0
2023-01-09T15:00,5.7,10,120.0
2023-01-09T16:00,6.1,9,211.0
2023-01-09T17:00,4.9,98,132.0
2023-01-09T18:00,3.6,91,13.0
2023-01-09T19:00,3.3,83,0.0
2023-01-09T20:00,3.2,100,0.0
2023-01-09T21:00,2.6,100,0.0
2023-01-09T22:00,2.9,76,0.0
2023-01-09T23:00,2.7,97,0.0
2023-01-10T00:00,2.1,100,0.0
2023-01-10T01:00,2.2,100,0.0
2023-01-10T02:00,1.9,100,0.0
2023-01-10T03:00,3.3,100,0.0
2023-01-10T04:00,3.0,100,0.0
2023-01-10T05:00,2.8,97,0.0
2023-01-10T06:00,2.4,23,0.0
2023-01-10T07:00,2.0,67,0.0
2023-01-10T08:00,1.5,99,0.0
2023-01-10T09:00,1.5,100,0.0
2023-01-10T10:00,2.5,100,8.0
2023-01-10T11:00,3.0,100,51.0
2023-01-10T12:00,3.3,50,73.0
2023-01-10T13:00,4.2,100,193.0
2023-01-10T14:00,5.2,98,157.0
2023-01-10T15:00,5.8,99,181.0
2023-01-10T16:00,6.1,100,213.0
2023-01-10T17:00,5.5,87,111.0
2023-01-10T18:00,2.0,63,26.0
2023-01-10T19:00,1.0,79,0.0
2023-01-10T20:00,2.8,94,0.0
2023-01-10T21:00,1.0,100,0.0
2023-01-10T22:00,2.5,100,0.0
2023-01-10T23:00,3.2,100,0.0
2023-01-11T00:00,3.3,100,0.0
2023-01-11T01:00,4.2,100,0.0
2023-01-11T02:00,4.1,100,0.0
2023-01-11T03:00,4.0,100,0.0
2023-01-11T04:00,4.1,100,0.0
